event_id,game_id,inning,batting_team_id,home_away,outs,balls,strikes,pitch_sequence,away_score,home_score,batter_id,batter_hand,responsible_batter_id,responsible_batter_hand,batter_lineup_position,batter_fielding_position,pitcher_id,pitcher_hand,responsible_pitcher_id,responsible_pitcher_hand,fielder_2_id,fielder_3_id,fielder_4_id,fielder_5_id,fielder_6_id,fielder_7_id,fielder_8_id,fielder_9_id,runner_1_id,runner_2_id,runner_3_id,event_text,event_code,event_outs,ab_flag,hit_code,rbi,leadoff_flag,pinch_hit_flag,sacrifice_hit_flag,sacrifice_fly_flag,double_play_flag,triple_play_flag,wild_pitch_flag,passed_ball_flag,bunt_flag,foul_flag,batted_ball_code,batted_ball_location,fielding_code,errors,error_1_fielder,error_1_type,error_2_fielder,error_2_type,error_3_fielder,error_3_type,batter_dest,runner_1_dest,runner_2_dest,runner_3_dest,runner_1_stolen_base,runner_2_stolen_base,runner_3_stolen_base,runner_1_caught_stealing,runner_2_caught_stealing,runner_3_caught_stealing,batter_play_text,runner_1_play_text,runner_2_play_text,runner_3_play_text,putout_1_fielder,putout_2_fielder,putout_3_fielder,assist_1_fielder,assist_2_fielder,assist_3_fielder,assist_4_fielder,assist_5_fielder,game_new_flag,game_end_flag,created_at
15522798,ANA202307170,2,NYA,A,1,1,2,CSBC,0,0,volpa001,R,volpa001,R,6,6,canng001,R,canng001,R,thaim001,cabbt001,escoe001,mousm001,netoz001,wardt002,monim001,renfh001,,,,K,3,1,T,0,0,F,F,F,F,F,F,F,F,F,F,"","",0,0,0,,0,,0,,0,0,0,0,F,F,F,F,F,F,2,"","","",2,0,0,0,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15522814,ANA202307170,4,NYA,A,1,1,2,CFBFS,0,0,volpa001,R,volpa001,R,6,6,canng001,R,canng001,R,thaim001,cabbt001,escoe001,mousm001,netoz001,wardt002,monim001,renfh001,,,,K,3,1,T,0,0,F,F,F,F,F,F,F,F,F,F,"","",0,0,0,,0,,0,,0,0,0,0,F,F,F,F,F,F,2,"","","",2,0,0,0,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15522832,ANA202307170,6,NYA,A,2,0,0,X,0,0,volpa001,R,volpa001,R,6,6,canng001,R,canng001,R,thaim001,cabbt001,escoe001,mousm001,netoz001,wardt002,monim001,renfh001,badeh001,,,S7/L78.1-2,20,0,T,1,0,F,F,F,F,F,F,F,F,F,F,L,78,7,0,0,,0,,0,,1,2,0,0,F,F,F,F,F,F,"","","","",0,0,0,0,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15522855,ANA202307170,8,NYA,A,1,2,2,BBCFS,3,3,volpa001,R,volpa001,R,6,6,reyeg002,R,reyeg002,R,thaim001,cabbt001,escoe001,mousm001,netoz001,wardt002,monim001,renfh001,,,,K,3,1,T,0,0,F,F,F,F,F,F,F,F,F,F,"","",0,0,0,,0,,0,,0,0,0,0,F,F,F,F,F,F,2,"","","",2,0,0,0,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15522873,ANA202307170,10,NYA,A,2,1,2,BFSS,3,3,volpa001,R,volpa001,R,6,6,loupa001,L,loupa001,L,wallc001,cabbt001,velaa001,mousm001,netoz001,wardt002,monim001,renfh001,,,torrg001,K,3,1,T,0,0,F,F,F,F,F,F,F,F,F,F,"","",0,0,0,,0,,0,,0,0,0,3,F,F,F,F,F,F,2,"","","",2,0,0,0,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15522890,ANA202307180,2,NYA,A,2,0,2,FSX,0,2,volpa001,R,volpa001,R,9,6,sandp002,L,sandp002,L,thaim001,cabbt001,stefm001,mousm001,netoz001,wardt002,monim001,renfh001,kinei001,badeh001,,53/G56,2,1,T,0,0,F,F,F,F,F,F,F,F,F,F,G,56,5,0,0,,0,,0,,0,1,2,0,F,F,F,F,F,F,53,"","","",3,0,0,5,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15522912,ANA202307180,5,NYA,A,1,2,2,BBSCS,1,3,volpa001,R,volpa001,R,9,6,sandp002,L,sandp002,L,thaim001,cabbt001,stefm001,mousm001,netoz001,wardt002,monim001,renfh001,,,,K,3,1,T,0,0,F,F,F,F,F,F,F,F,F,F,"","",0,0,0,,0,,0,,0,0,0,0,F,F,F,F,F,F,2,"","","",2,0,0,0,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15522934,ANA202307180,8,NYA,A,1,0,0,X,1,5,volpa001,R,volpa001,R,9,6,sandp002,L,sandp002,L,thaim001,mousm001,velaa001,rengl001,netoz001,wardt002,monim001,renfh001,,,,S8/L89,20,0,T,1,0,F,F,F,F,F,F,F,F,F,F,L,89,8,0,0,,0,,0,,1,0,0,0,F,F,F,F,F,F,"","","","",0,0,0,0,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15522953,ANA202307190,2,NYA,A,0,1,0,BX,0,2,volpa001,R,volpa001,R,5,6,silsc001,R,silsc001,R,wallc001,escoe001,stefm001,rengl001,netoz001,wardt002,monim001,renfh001,,,,9/L9L,2,1,T,0,0,T,F,F,F,F,F,F,F,F,F,L,9L,9,0,0,,0,,0,,0,0,0,0,F,F,F,F,F,F,9,"","","",9,0,0,0,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15522974,ANA202307190,4,NYA,A,0,0,2,CFS,0,6,volpa001,R,volpa001,R,5,6,silsc001,R,silsc001,R,wallc001,escoe001,stefm001,rengl001,netoz001,wardt002,monim001,renfh001,,,,K,3,1,T,0,0,T,F,F,F,F,F,F,F,F,F,"","",0,0,0,,0,,0,,0,0,0,0,F,F,F,F,F,F,2,"","","",2,0,0,0,0,0,0,0,F,F,2026-01-21 17:01:53.227175
